date,trade_count,total_trade_value,total_quantity
2020-01-01,43,860487.74,4416
2020-01-02,50,1188840.76,5048
2020-01-03,52,968491.25,4834
2020-01-04,46,846968.14,4740
2020-01-05,42,837631.77,4016
2020-01-06,38,784410.23,3651
2020-01-07,44,930406.0800000001,4608
2020-01-08,55,1254378.91,5556
2020-01-09,36,587323.69,3039
2020-01-10,40,879113.73,3835
2020-01-11,32,655070.12,3078
2020-01-12,37,785828.48,3937
2020-01-13,45,991445.94,4881
2020-01-14,41,825435.42,3768
2020-01-15,55,1097176.61,5127
2020-01-16,37,800051.71,3459
2020-01-17,45,1029702.8200000001,4796
2020-01-18,47,1205275.24,5352
2020-01-19,51,1117669.92,5643
2020-01-20,41,909436.05,4213
2020-01-21,44,871364.96,4397
2020-01-22,43,1266618.16,4700
2020-01-23,52,926470.3200000001,4924
2020-01-24,60,1274633.97,5999
2020-01-25,45,912448.69,5047
2020-01-26,49,877010.55,4182
2020-01-27,29,567459.9,2983
2020-01-28,52,1171399.28,5268
2020-01-29,46,944621.07,4612
2020-01-30,51,1062925.43,5408
2020-01-31,30,574375.85,2641
2020-02-01,42,838984.49,4120
2020-02-02,32,619629.95,2813
2020-02-03,45,1085810.76,4983
2020-02-04,53,1028664.79,5337
2020-02-05,53,1449770.29,5812
2020-02-06,39,786111.63,4059
2020-02-07,51,1234007.54,5908
2020-02-08,43,821474.47,3760
2020-02-09,58,1295955.51,6349
2020-02-10,51,1114713.7,4906
2020-02-11,51,1082594.63,4954
2020-02-12,41,887574.3,4165
2020-02-13,46,812728.96,4175
2020-02-14,38,944105.13,4357
2020-02-15,46,907770.5,4614
2020-02-16,44,832179.98,4346
2020-02-17,43,919792.97,4272
2020-02-18,54,1076748.22,4907
2020-02-19,47,984968.34,4982
2020-02-20,35,702727.21,3599
2020-02-21,64,1324596.99,6063
2020-02-22,50,1108198.13,5517
2020-02-23,48,936901.09,4817
2020-02-24,44,794968.58,3564
2020-02-25,41,1052086.06,4030
2020-02-26,47,951540.4,4493
2020-02-27,45,926057.27,4436
2020-02-28,44,1066013.54,4950
2020-02-29,66,1236667.01,6544
2020-03-01,35,478915.61000000004,2504
2020-03-02,54,1198159.07,5941
2020-03-03,42,1033530.59,4478
2020-03-04,51,1168889.18,4986
2020-03-05,50,967248.08,4773
2020-03-06,49,1054220.43,4894
2020-03-07,45,989835.7,4680
2020-03-08,36,734471.77,3509
2020-03-09,45,946977.24,4056
2020-03-10,54,1300497.92,6163
2020-03-11,48,1082430.7,4623
2020-03-12,44,999547.1699999999,4363
2020-03-13,48,1036511.73,4585
2020-03-14,53,1143027.69,5541
2020-03-15,45,942114.95,4409
2020-03-16,56,1223924.46,5677
2020-03-17,31,615991.97,2910
2020-03-18,39,871656.4,4261
2020-03-19,44,967319.6,4842
2020-03-20,46,899779.94,4251
2020-03-21,45,944061.31,4339
2020-03-22,47,1000393.06,4934
2020-03-23,46,1050907.83,4988
2020-03-24,47,1076860.42,4954
2020-03-25,44,1024953.84,4130
2020-03-26,37,828984.02,3885
2020-03-27,52,1000292.41,4602
2020-03-28,41,915992.66,4208
2020-03-29,42,805879.64,3898
2020-03-30,51,1158599.36,5481
2020-03-31,50,903339.15,4712
2020-04-01,40,1096439.64,4815
2020-04-02,48,1129714.21,4895
2020-04-03,49,1062138.57,5494
2020-04-04,53,1256953.17,5382
2020-04-05,40,921157.64,4456
2020-04-06,44,885770.11,3853
2020-04-07,50,1114963.19,5144
2020-04-08,38,863917.13,4243
2020-04-09,42,1023610.75,4782
2020-04-10,53,1001949.61,5028
2020-04-11,47,961645.59,4278
2020-04-12,49,937176.94,4523
2020-04-13,48,1226059.45,5726
2020-04-14,42,913982.0800000001,4276
2020-04-15,53,1130440.3,5358
2020-04-16,51,1000937.3099999999,5191
2020-04-17,46,1215843.59,5205
2020-04-18,44,1008135.67,4411
2020-04-19,55,1113529.58,5356
2020-04-20,46,891487.79,4046
2020-04-21,46,934215.69,4929
2020-04-22,45,837436.93,4443
2020-04-23,37,771781.77,3642
2020-04-24,51,1000285.77,4931
2020-04-25,54,1191554.09,5691
2020-04-26,52,936785.33,4878
2020-04-27,38,706132.94,3466
2020-04-28,43,957115.51,4375
2020-04-29,42,955894.58,4273
2020-04-30,32,767576.72,3237
2020-05-01,36,812642.25,4165
2020-05-02,47,1110564.05,5262
2020-05-03,38,780339.57,3723
2020-05-04,49,1330616.01,5965
2020-05-05,37,735670.98,3787
2020-05-06,48,1025269.62,4950
2020-05-07,39,728754.08,3886
2020-05-08,48,1186084.34,5134
2020-05-09,49,919306.25,4106
2020-05-10,52,1167219.16,5156
2020-05-11,45,899835.8099999999,4312
2020-05-12,43,865511.71,4460
2020-05-13,50,1059895.85,4706
2020-05-14,33,691886.75,3218
2020-05-15,28,671175.9,3063
2020-05-16,46,836550.74,3919
2020-05-17,44,693137.89,3692
2020-05-18,54,1374954.14,6328
2020-05-19,54,1057794.35,5321
2020-05-20,40,888281.78,4043
2020-05-21,60,1258957.72,6528
2020-05-22,49,1191884.46,5047
2020-05-23,51,1136736.21,5354
2020-05-24,50,1085000.79,5140
2020-05-25,43,878411.16,3991
2020-05-26,47,941604.82,4507
2020-05-27,45,821432.73,3794
2020-05-28,52,1318193.55,5356
2020-05-29,44,747939.72,4184
2020-05-30,33,679474.72,3214
2020-05-31,38,766920.44,3892
2020-06-01,41,1020686.1799999999,4437
2020-06-02,49,918128.43,4989
2020-06-03,48,1056945.59,4978
2020-06-04,32,720634.32,3433
2020-06-05,64,1219681.06,6178
2020-06-06,58,1377256.6400000001,6500
2020-06-07,45,877516.66,4012
2020-06-08,48,983987.22,4605
2020-06-09,52,869209.84,4399
2020-06-10,39,974494.47,4215
2020-06-11,43,1090005.33,4643
2020-06-12,35,594453.06,3006
2020-06-13,43,1022732.19,5189
2020-06-14,41,1038796.35,4395
2020-06-15,42,801922.81,4165
2020-06-16,54,971496.33,4739
2020-06-17,40,899793.34,3998
2020-06-18,46,1152594.82,4677
2020-06-19,41,824099.55,4017
2020-06-20,56,1244177.76,6263
2020-06-21,39,919292.79,3716
2020-06-22,45,1012564.99,4568
2020-06-23,44,800196.09,3953
2020-06-24,57,1250707.18,5750
2020-06-25,46,932786.41,4311
2020-06-26,40,820997.51,3899
2020-06-27,42,945578.14,4403
2020-06-28,49,923615.77,4460
2020-06-29,56,1365925.56,5765
2020-06-30,60,1516014.25,6648
2020-07-01,35,707593.1,4004
2020-07-02,38,721440.14,3618
2020-07-03,49,1062633.89,5381
2020-07-04,34,809891.09,3734
2020-07-05,39,794317.24,4069
2020-07-06,50,775424.09,4137
2020-07-07,48,883466.66,4755
2020-07-08,45,1221950.6,5003
2020-07-09,48,1317405.94,5049
2020-07-10,48,881096.83,4461
2020-07-11,42,820955.6900000001,3346
2020-07-12,39,734934.59,3615
2020-07-13,43,659251.82,3589
2020-07-14,52,1381178.24,5969
2020-07-15,38,745825.34,3726
2020-07-16,53,1160944.58,5450
2020-07-17,44,966225.5,4273
2020-07-18,40,876058.3099999999,3788
2020-07-19,45,918223.4400000001,4486
2020-07-20,38,738490.55,3512
2020-07-21,55,1101297.71,5279
2020-07-22,56,1123930.43,5015
2020-07-23,49,862665.49,4298
2020-07-24,39,835334.85,3947
2020-07-25,48,999402.5599999999,5227
2020-07-26,46,1004172.35,4541
2020-07-27,37,652557.19,3246
2020-07-28,53,1132843.22,5594
2020-07-29,52,1171939.07,4961
2020-07-30,38,761964.08,3701
2020-07-31,46,1041597.56,5234
2020-08-01,51,1279777.12,5712
