date,total_transaction_value,deposit_count
2020-01-01,43501.0,2
2020-01-14,27872.0,1
2020-01-16,7341.0,1
2020-01-18,9816.0,1
2020-01-19,2633.0,0
2020-01-20,47817.0,1
2020-01-21,93702.0,2
2020-01-22,6033.0,1
2020-01-23,52630.0,3
2020-01-25,47993.0,2
2020-01-26,6216.0,1
2020-01-30,12870.0,1
2020-02-01,6711.0,1
2020-02-06,26909.0,1
2020-02-08,1970.0,1
2020-02-10,56073.0,2
2020-02-12,43702.0,1
2020-02-15,20921.0,1
2020-02-16,89822.0,3
2020-02-17,34961.0,1
2020-02-20,33898.0,2
2020-02-23,54689.0,2
2020-02-25,44853.0,1
2020-02-26,34104.0,1
2020-02-28,10746.0,1
2020-02-29,9436.0,1
2020-03-01,2411.0,1
2020-03-02,34644.0,1
2020-03-03,29619.0,1
2020-03-04,2553.0,0
2020-03-05,70948.0,2
2020-03-07,2250.0,0
2020-03-10,34944.0,1
2020-03-11,46153.0,1
2020-03-14,9574.0,1
2020-03-15,37714.0,1
2020-03-21,33914.0,2
2020-03-22,20765.0,1
2020-03-26,31023.0,1
2020-03-27,75485.0,2
2020-03-28,78947.0,3
2020-03-31,4926.0,0
2020-04-02,50769.0,2
2020-04-07,34262.0,1
2020-04-09,23352.0,1
2020-04-10,9305.0,1
2020-04-11,69815.0,2
2020-04-12,6513.0,1
2020-04-14,791.0,0
2020-04-16,15084.0,2
2020-04-19,2107.0,0
2020-04-20,30787.0,1
2020-04-25,30821.0,1
2020-04-26,731.0,0
2020-04-27,9840.0,1
2020-04-29,47940.0,1
2020-04-30,605.0,0
2020-05-01,64424.0,2
2020-05-02,11585.0,1
2020-05-03,1882.0,0
2020-05-04,37096.0,2
2020-05-07,8588.0,1
2020-05-08,45553.0,1
2020-05-09,40745.0,1
2020-05-10,4506.0,0
2020-05-11,48758.0,1
2020-05-19,2485.0,0
2020-05-21,1827.0,0
2020-05-25,19726.0,1
2020-05-26,33998.0,1
2020-05-27,44094.0,1
2020-05-28,10694.0,1
2020-05-29,18307.0,1
2020-05-30,29107.0,2
2020-05-31,32925.0,1
2020-06-01,5724.0,1
2020-06-03,30843.0,1
2020-06-04,25530.0,2
2020-06-05,3322.0,1
2020-06-09,7531.0,1
2020-06-10,20158.0,1
2020-06-15,30387.0,2
2020-06-18,7675.0,1
2020-06-19,41370.0,1
2020-06-21,15918.0,1
2020-06-22,15056.0,1
2020-06-24,47111.0,1
2020-06-25,20708.0,2
2020-07-01,24375.0,1
2020-07-02,6147.0,1
2020-07-03,41563.0,1
2020-07-04,7184.0,1
2020-07-05,6481.0,1
2020-07-06,35655.0,1
2020-07-07,9226.0,1
2020-07-08,54927.0,2
2020-07-09,33261.0,2
2020-07-11,31965.0,1
2020-07-13,3588.0,0
2020-07-14,16169.0,1
2020-07-15,62485.0,3
2020-07-18,3513.0,0
2020-07-19,3547.0,1
2020-07-20,29445.0,3
2020-07-22,30663.0,1
2020-07-24,44271.0,3
2020-07-28,18209.0,2
2020-07-29,38240.0,1
2020-07-30,18529.0,1
2020-08-01,43186.0,1
2020-08-02,22442.0,1
2020-08-05,7955.0,1
2020-08-06,8736.0,1
2020-08-08,8910.0,1
2020-08-09,24556.0,1
2020-08-12,15081.0,1
2020-08-14,67214.0,3
2020-08-17,9462.0,1
2020-08-20,5573.0,1
2020-08-21,43289.0,1
2020-08-23,53818.0,2
2020-08-25,47269.0,1
2020-09-01,1329.0,0
2020-09-02,38272.0,2
2020-09-03,5836.0,1
2020-09-05,93377.0,3
2020-09-07,1650.0,0
2020-09-08,13326.0,0
2020-09-10,49545.0,2
2020-09-11,22547.0,3
2020-09-12,10020.0,1
2020-09-13,33946.0,1
2020-09-14,40857.0,1
2020-09-15,1764.0,0
2020-09-16,57430.0,2
2020-09-17,5443.0,1
2020-09-18,1168.0,0
2020-09-19,4481.0,1
2020-09-21,35993.0,2
2020-09-24,3830.0,0
2020-09-25,8916.0,1
2020-09-26,20369.0,1
2020-09-27,29721.0,2
2020-09-28,22337.0,2
2020-09-29,37469.0,1
2020-09-30,8791.0,2
2020-10-04,18610.0,1
2020-10-07,35420.0,1
2020-10-08,13480.0,2
2020-10-09,18156.0,1
2020-10-10,4466.0,0
2020-10-12,2447.0,0
2020-10-13,2553.0,0
2020-10-14,38579.0,1
2020-10-17,3716.0,0
2020-10-18,55963.0,3
2020-10-19,3254.0,0
2020-10-20,5113.0,1
2020-10-21,5851.0,1
2020-10-22,4457.0,0
2020-10-23,16509.0,1
2020-10-24,19076.0,1
2020-10-25,55575.0,2
2020-10-26,3831.0,0
2020-10-27,3985.0,1
2020-10-28,1988.0,1
2020-10-30,8450.0,0
2020-11-01,47539.0,1
2020-11-02,44467.0,1
2020-11-05,80691.0,2
2020-11-07,11352.0,1
2020-11-08,4109.0,0
2020-11-09,6721.0,1
2020-11-12,49323.0,2
2020-11-14,64315.0,5
2020-11-15,6091.0,1
2020-11-16,4237.0,0
2020-11-18,2765.0,1
2020-11-19,49595.0,1
2020-11-20,74052.0,2
2020-11-21,37140.0,2
2020-11-22,8128.0,1
2020-11-23,83019.0,3
2020-11-27,9707.0,2
2020-11-29,46040.0,3
2020-12-02,42996.0,1
2020-12-05,2650.0,1
2020-12-06,48910.0,1
2020-12-09,1359.0,0
2020-12-11,42110.0,2
2020-12-12,544.1599999999999,0
2020-12-13,3037.0,0
2020-12-15,94050.0,3
2020-12-16,86747.0,2
2020-12-18,7664.0,0
2020-12-19,3532.0,1
2020-12-20,12621.0,2
2020-12-21,15047.408,1
2020-12-22,20284.0,1
2020-12-23,36626.0,1
2020-12-24,3561.0,0
2020-12-26,636.0,0
2020-12-27,11719.0,1
2020-12-28,4984.0,1
2020-12-29,11440.0,1
2020-12-30,13777.0,2
2020-12-31,14164.0,2
2021-01-01,5076.0,1
2021-01-02,22017.0,1
2021-01-03,3551.0,0
2021-01-04,5171.0,1
2021-01-05,44205.0,1
2021-01-06,4755.0,0
2021-01-07,41092.0,1
2021-01-08,20851.0,1
2021-01-09,2999.0,0
2021-01-11,26248.0,1
2021-01-12,13677.0,1
2021-01-13,36182.0,1
2021-01-14,7232.0,1
2021-01-15,21397.0,1
2021-01-16,5903.0,0
2021-01-17,45975.0,2
2021-01-18,39894.0,1
2021-01-19,3082.0,0
2021-01-20,3428.0,2
2021-01-21,1162.0,0
2021-01-22,3023.0,0
2021-01-23,45782.0,2
2021-01-24,3415.0,1
2021-01-27,1576.0,1
2021-01-28,11227.0,1
2021-01-31,26109.0,1
2021-02-01,4471.0,0
2021-02-03,5840.0,1
2021-02-04,3692.0,1
2021-02-05,495.0,0
2021-02-07,27186.0,1
2021-02-08,10203.0,1
2021-02-09,8157.0,1
2021-02-10,3992.0,1
2021-02-13,1335.0,2
2021-02-14,90782.0,2
2021-02-15,2449.0,0
2021-02-16,17664.0,2
2021-02-18,466.0,0
2021-02-20,10632.0,1
2021-02-22,644.0,0
2021-02-23,4753.0,0
2021-02-24,46240.0,1
2021-02-25,801.0,0
2021-02-26,5952.0,1
2021-02-27,44623.0,1
2021-02-28,3422.0,0
2021-03-02,6584.0,1
2021-03-03,4961.0,0
2021-03-05,12453.0,1
2021-03-06,14458.0,2
2021-03-07,3648.0,0
2021-03-08,236.0,1
2021-03-09,35398.0,1
2021-03-10,9381.0,1
2021-03-12,4836.0,0
2021-03-14,18066.0,2
2021-03-15,34303.0,2
2021-03-16,18234.0,2
2021-03-17,30620.0,3
2021-03-18,4883.0,0
2021-03-19,3661.0,0
2021-03-20,65398.0,2
2021-03-21,4576.0,0
2021-03-22,51918.0,3
2021-03-23,4044.0,1
2021-03-26,5214.0,1
2021-03-29,9819.0,1
2021-03-30,595.0,0
2021-03-31,4349.0,1
2021-04-01,47486.681599999996,1
2021-04-02,13725.0,2
2021-04-03,10329.0,1
2021-04-04,36127.0,3
2021-04-07,2445.0,0
2021-04-09,1298.0,1
2021-04-10,3161.0,0
2021-04-11,8092.0,1
2021-04-12,22686.0,1
2021-04-13,5180.0,1
2021-04-14,8477.0,1
2021-04-15,32983.0,1
2021-04-17,7663.0,1
2021-04-19,84999.0,2
2021-04-20,7990.0,1
2021-04-21,3291.0,1
2021-04-22,664.3199999999999,0
2021-04-23,4913.0,0
2021-04-24,51536.0,2
2021-04-25,20671.0,1
2021-04-26,5370.0,0
2021-04-27,101234.0,3
2021-04-28,6549.0,0
2021-04-29,6535.0,2
2021-04-30,46757.0,1
2021-05-01,113657.0,3
2021-05-02,12453.0,1
2021-05-03,53230.0,2
2021-05-04,13209.0,2
2021-05-06,14807.0,3
2021-05-07,9906.0,1
2021-05-08,4445.0,0
2021-05-09,42875.0,2
2021-05-10,43928.0,2
2021-05-12,4296.0,0
2021-05-14,4695.0,1
2021-05-16,3084.0,1
2021-05-17,19005.0,1
2021-05-18,3833.0,1
2021-05-19,12206.0,1
2021-05-20,30495.0,2
2021-05-22,3646.0,0
2021-05-23,2733.0,1
2021-05-24,10052.0,1
2021-05-25,21593.0,2
2021-05-26,3335.2000000000003,0
2021-05-27,2418.0,0
2021-05-29,6527.0,1
2021-05-30,73625.0,3
2021-05-31,29685.0,1
2021-06-02,7906.0,2
2021-06-03,175.0,1
2021-06-04,19096.0,2
2021-06-05,8069.0,1
2021-06-06,99776.0,3
2021-06-07,15381.0,2
2021-06-09,44580.0,1
2021-06-10,3479.0,1
2021-06-11,9343.0,1
2021-06-12,23565.0,1
2021-06-13,9436.0,2
2021-06-14,3987.0,0
2021-06-17,2285.0,0
2021-06-18,67373.0,3
2021-06-19,3881.0,1
2021-06-20,50068.0,1
2021-06-21,6636.0,1
2021-06-22,42913.0,2
2021-06-24,17107.0,1
2021-06-25,108957.0,3
2021-06-26,35730.0,3
2021-06-27,1727.0,1
2021-06-28,72829.0,4
2021-06-29,21314.0,2
2021-06-30,5191.0,0
2021-07-02,5728.0,1
2021-07-03,15116.0,2
2021-07-04,1929.0,0
2021-07-05,10405.0,2
2021-07-06,11922.0,3
2021-07-07,37894.0,2
2021-07-08,43192.0,3
2021-07-09,6964.0,1
2021-07-10,31835.0,1
2021-07-11,6124.0,1
2021-07-12,1374.6000000000001,0
2021-07-13,8480.0,1
2021-07-14,21013.0,2
2021-07-15,13099.0,1
2021-07-17,54234.0,2
2021-07-18,41603.0,2
2021-07-19,43937.0,2
2021-07-20,60351.0,3
2021-07-21,5427.0,1
2021-07-22,29368.0,1
2021-07-23,16971.0,1
2021-07-24,4781.0,0
2021-07-27,3371.0,1
2021-07-28,8365.0,1
2021-07-29,121267.0,5
2021-07-30,53648.0,4
2021-07-31,27553.0,1
2021-08-01,23943.0,1
2021-08-02,9518.0,1
2021-08-03,20528.0,2
2021-08-05,2388.0,1
2021-08-06,2956.0,1
2021-08-07,7617.0,0
2021-08-08,637.0,0
2021-08-09,37998.0,1
2021-08-10,444.0,0
2021-08-11,16133.0,1
2021-08-12,11149.0,2
2021-08-13,2709.0,0
2021-08-14,4642.0,1
2021-08-16,11094.0,2
2021-08-17,45156.0,1
2021-08-18,58570.0,5
2021-08-19,8797.0,1
2021-08-20,8676.0,2
2021-08-21,8921.0,4
2021-08-22,37251.0,4
2021-08-23,7875.0,1
2021-08-24,885.0,0
2021-08-25,44948.0,2
2021-08-26,24253.0,3
2021-08-27,14015.0,2
2021-08-28,41100.0,4
2021-08-29,2039.0,0
2021-08-30,6303.0,1
2021-08-31,56282.0,2
2021-09-01,7452.0,0
2021-09-02,48155.0,3
2021-09-03,72547.0,2
2021-09-04,6645.0,1
2021-09-06,7099.0,1
2021-09-07,6079.0,1
2021-09-08,7217.0,1
2021-09-09,59110.0,2
2021-09-10,15267.0,1
2021-09-11,2555.0,0
2021-09-13,46138.0,1
2021-09-14,6700.0,1
2021-09-15,4378.0,0
2021-09-16,43653.0,1
2021-09-17,30324.0,3
2021-09-19,22314.0,2
2021-09-20,45038.0,1
2021-09-21,536.0,1
2021-09-22,17530.0,4
2021-09-24,4024.0,1
2021-09-25,14207.0,2
2021-09-27,11675.0,1
2021-09-28,22666.0,2
2021-09-29,15849.0,2
2021-09-30,15922.0,1
2021-10-01,36994.0,1
2021-10-02,9531.0,1
2021-10-03,10954.0,1
2021-10-04,8000.0,1
2021-10-05,8121.0,1
2021-10-06,6351.0,1
2021-10-07,3239.0,1
2021-10-09,16313.0,2
2021-10-11,8063.0,0
2021-10-12,12576.0,1
2021-10-13,51606.0,5
2021-10-14,5360.0,0
2021-10-15,26778.0,4
2021-10-16,14598.0,2
2021-10-17,9536.0,1
2021-10-19,8336.0,1
2021-10-20,21536.0,1
2021-10-21,15310.0,2
2021-10-22,16030.0,2
2021-10-23,10187.0,1
2021-10-24,9553.0,1
2021-10-25,50383.0,4
2021-10-26,14521.0,2
2021-10-27,12252.0,2
2021-10-28,8396.0,1
2021-10-29,18241.0,2
2021-10-31,20328.0,1
