transaction_id,client_id,symbol,transaction_date,type,quantity,price,amount
T100000,C10298,MSFT,2025-05-04,Buy,192,278.68,53505.91
T100001,C10720,AMZN,2024-10-19,Sell,37,132.04,4885.52
T100002,C10720,NVDA,2025-08-21,Sell,60,335.72,20143.46
T100003,C10968,AMZN,2025-12-11,Sell,167,107.63,17974.13
T100004,C10254,TSLA,2020-11-29,Buy,88,172.5,15180.05
T100005,C10862,AAPL,2023-02-14,Sell,44,163.29,7184.63
T100006,C10152,BRK.B,2022-03-03,Sell,31,348.55,10805.06
T100007,C10709,MSFT,2025-01-29,Buy,72,292.66,21071.61
T100008,C10411,NVDA,2025-02-26,Buy,40,426.98,17079.14
T100009,C10301,MSFT,2021-06-27,Sell,57,248.25,14149.99
T100010,C10932,TSLA,2022-06-21,Buy,51,223.49,11397.74
T100011,C10096,V,2025-03-11,Buy,26,206.96,5380.93
T100012,C10607,GOOGL,2022-02-08,Buy,26,157.35,4091.02
T100013,C10832,V,2022-03-27,Sell,141,222.04,31308.08
T100014,C10505,NVDA,2024-11-22,Sell,72,444.72,32020.14
T100015,C10568,AAPL,2024-10-31,Buy,26,172.65,4488.8
T100016,C10706,AMZN,2020-05-22,Buy,136,125.8,17108.25
T100017,C10825,NVDA,2023-02-18,Sell,134,420.05,56287.15
T100018,C10664,V,2023-09-04,Buy,15,177.94,2669.13
T100019,C10009,V,2020-09-09,Sell,97,259.6,25181.32
T100020,C10531,NVDA,2025-08-01,Buy,14,372.99,5221.82
T100021,C10456,GOOGL,2023-03-20,Sell,133,115.29,15333.58
T100022,C10453,GOOGL,2020-07-02,Sell,69,119.76,8263.36
T100023,C10296,BRK.B,2023-04-11,Buy,58,321.97,18674.34
T100024,C10162,BRK.B,2025-06-26,Sell,29,324.5,9410.49
T100025,C10898,TSLA,2022-12-27,Sell,119,215.47,25641.35
T100026,C10464,NVDA,2020-06-03,Sell,116,462.92,53698.43
T100027,C10560,JNJ,2023-12-24,Buy,185,190.24,35194.01
T100028,C10322,JNJ,2021-10-20,Sell,33,185.52,6122.0
T100029,C10840,BRK.B,2021-03-19,Sell,94,306.82,28841.29
T100030,C10346,AMZN,2020-09-17,Buy,172,123.18,21187.61
T100031,C10491,MSFT,2022-04-04,Sell,6,237.95,1427.71
T100032,C10637,AAPL,2022-10-20,Buy,130,122.02,15862.57
T100033,C10730,JNJ,2022-06-08,Buy,79,154.15,12178.11
T100034,C10182,BRK.B,2021-08-06,Sell,80,314.87,25189.73
T100035,C10745,AMZN,2025-11-08,Sell,158,132.77,20978.12
T100036,C10810,TSLA,2024-03-29,Buy,38,214.73,8159.76
T100037,C10687,BRK.B,2025-10-16,Buy,82,345.67,28344.53
T100038,C10356,MSFT,2023-12-24,Sell,146,281.1,41040.43
T100039,C10259,NVDA,2025-11-24,Sell,33,399.52,13184.28
T100040,C10768,NVDA,2024-03-28,Buy,99,463.53,45889.82
T100041,C10080,NVDA,2024-01-16,Sell,90,382.06,34385.75
T100042,C10319,JPM,2025-05-15,Sell,17,131.25,2231.25
T100043,C10302,V,2023-02-14,Buy,185,218.4,40404.11
T100044,C10746,AAPL,2024-12-04,Buy,144,146.62,21112.62
T100045,C10071,V,2025-07-08,Sell,47,199.37,9370.29
T100046,C10229,JNJ,2022-08-21,Buy,95,156.28,14846.88
T100047,C10145,GOOGL,2022-12-31,Buy,138,156.63,21615.12
T100048,C10616,AAPL,2020-08-07,Buy,92,151.56,13943.53
T100049,C10194,JNJ,2024-05-05,Buy,89,151.13,13450.21
T100050,C10678,V,2021-09-02,Sell,89,230.4,20505.4
T100051,C10605,GOOGL,2021-01-06,Sell,178,148.38,26412.08
T100052,C10926,TSLA,2025-02-05,Buy,152,214.43,32593.14
T100053,C10789,JPM,2023-10-04,Buy,168,165.61,27822.68
T100054,C10230,V,2022-11-18,Sell,44,186.48,8204.91
T100055,C10068,TSLA,2023-12-16,Buy,46,204.09,9388.35
T100056,C10024,BRK.B,2024-10-28,Buy,163,243.6,39706.23
T100057,C10239,JPM,2025-01-15,Sell,17,167.84,2853.27
T100058,C10246,NVDA,2020-01-09,Sell,62,448.99,27837.09
T100059,C10164,JNJ,2024-05-21,Buy,146,140.28,20481.3
T100060,C10551,MSFT,2024-10-06,Buy,132,255.66,33746.99
T100061,C10157,JPM,2023-05-20,Buy,75,124.68,9351.35
T100062,C10181,AMZN,2024-12-29,Sell,170,123.23,20949.9
T100063,C10643,JPM,2023-07-14,Buy,88,165.02,14521.56
T100064,C10916,BRK.B,2024-07-20,Buy,14,246.4,3449.67
T100065,C10223,MSFT,2024-08-01,Buy,166,268.57,44582.54
T100066,C10323,JNJ,2020-06-06,Buy,187,132.41,24761.18
T100067,C10083,V,2022-06-06,Buy,79,241.29,19061.91
T100068,C10739,TSLA,2024-04-07,Buy,95,204.2,19399.14
T100069,C10898,V,2022-02-14,Buy,131,229.67,30087.1
T100070,C10804,NVDA,2022-10-03,Buy,138,400.06,55208.71
T100071,C10077,TSLA,2024-12-07,Sell,51,210.8,10750.86
T100072,C10851,JPM,2025-09-24,Buy,136,117.57,15989.96
T100073,C10296,JNJ,2020-04-11,Buy,8,178.81,1430.48
T100074,C10610,JNJ,2020-03-15,Buy,71,174.57,12394.29
T100075,C10072,JPM,2021-12-27,Buy,95,129.13,12267.53
T100076,C10654,MSFT,2023-08-01,Buy,46,247.29,11375.54
T100077,C10848,V,2020-10-07,Buy,106,251.44,26652.64
T100078,C10942,AAPL,2023-01-15,Sell,131,134.76,17654.16
T100079,C10597,BRK.B,2022-07-07,Sell,126,310.12,39074.57
T100080,C10323,BRK.B,2021-02-22,Sell,47,355.48,16707.79
T100081,C10476,V,2023-05-29,Buy,75,263.75,19781.25
T100082,C10144,V,2020-06-14,Buy,29,186.19,5399.53
T100083,C10947,JNJ,2020-12-18,Sell,48,175.03,8401.5
T100084,C10843,JNJ,2025-04-01,Buy,70,175.23,12265.94
T100085,C10663,TSLA,2024-02-16,Sell,96,229.71,22052.37
T100086,C10316,AAPL,2021-01-03,Sell,144,162.27,23367.58
T100087,C10357,GOOGL,2024-04-19,Sell,116,160.87,18660.61
T100088,C10982,NVDA,2024-06-08,Buy,57,383.16,21840.23
T100089,C10335,GOOGL,2020-03-29,Buy,74,144.95,10726.43
T100090,C10074,AAPL,2022-02-25,Buy,61,152.32,9291.71
T100091,C10080,JPM,2023-09-13,Sell,87,146.24,12723.15
T100092,C10940,JPM,2020-09-13,Buy,78,149.16,11634.8
T100093,C10613,AAPL,2024-09-06,Sell,108,142.06,15343.02
T100094,C10119,AMZN,2022-03-07,Sell,106,117.2,12423.58
T100095,C10979,TSLA,2021-02-13,Buy,167,194.19,32430.45
T100096,C10981,JNJ,2022-06-09,Buy,45,173.89,7824.83
T100097,C10005,AMZN,2023-06-12,Sell,50,96.45,4822.72
T100098,C10362,GOOGL,2022-04-13,Sell,119,111.49,13267.44
T100099,C10085,JNJ,2024-02-14,Buy,114,164.22,18721.27
T100100,C10602,TSLA,2021-11-12,Sell,183,179.63,32872.2
T100101,C10819,AAPL,2020-07-22,Sell,33,145.48,4800.95
T100102,C10073,GOOGL,2024-11-18,Buy,32,125.05,4001.72
T100103,C10677,BRK.B,2024-02-09,Buy,106,321.63,34093.05
T100104,C10314,AMZN,2022-11-06,Sell,167,136.11,22730.59
T100105,C10261,V,2020-05-14,Sell,42,256.14,10757.74
T100106,C10741,AMZN,2021-06-04,Sell,123,108.59,13356.2
T100107,C10483,V,2020-08-21,Buy,112,188.21,21079.75
T100108,C10645,NVDA,2025-03-20,Sell,21,399.08,8380.75
T100109,C10210,GOOGL,2025-12-26,Buy,34,133.17,4527.78
T100110,C10280,AAPL,2023-03-18,Sell,83,125.4,10407.79
T100111,C10354,BRK.B,2022-03-07,Buy,90,311.29,28016.2
T100112,C10885,AAPL,2021-12-16,Sell,164,162.89,26713.3
