client_id,age,income_bracket,risk_tolerance,investment_experience,join_date,country,tenure_days,account_balance,last_updated,trade_count,total_trade_value,avg_trade_value,std_trade_value,total_quantity,avg_quantity,total_transaction_value,transaction_count,deposit_ratio,avg_daily_trades,value_per_trade
C10000,54,Medium,Very High,Beginner,2020-02-16,Canada,2040,11119,2025-09-16 18:10:22.208536,101,2070146.74,20496.5,14622.27,10030,99.31,52091.0,10,0.8,0.049509803921568625,20496.502376237622
C10001,61,Medium,Low,Beginner,2025-11-15,Canada,-59,27182,2025-09-16 18:10:22.214717,98,2466664.64,25170.05,18070.9,10828,110.49,27182.0,1,1.0,98.0,25170.047346938776
C10002,27,Medium,Very High,Intermediate,2024-08-17,Germany,396,46465,2025-09-16 18:10:22.216712,91,2056016.16,22593.58,16463.27,9686,106.44,46815.0,2,0.5,0.2297979797979798,22593.584175824173
C10003,23,Low,Very High,Intermediate,2022-02-03,Germany,1322,25315,2025-09-16 18:10:22.217713,92,1998764.47,21725.7,17154.08,9172,99.7,34596.0,3,0.67,0.06959152798789713,21725.700760869564
C10004,57,Medium,High,Advanced,2025-11-07,Australia,-51,21668,2025-09-16 18:10:22.218707,95,1841425.29,19383.42,15530.8,8619,90.73,21668.0,1,1.0,95.0,19383.42410526316
C10005,35,High,Low,Advanced,2025-03-04,UK,197,7994,2025-09-16 18:10:22.219704,85,1837008.27,21611.86,15681.8,8944,105.22,10123.0,2,1.0,0.43147208121827413,21611.862
C10006,70,High,Low,Beginner,2024-06-06,Japan,468,12329,2025-09-16 18:10:22.221699,103,2306990.82,22397.97,16418.1,10755,104.42,39071.0,7,1.0,0.22008547008547008,22397.96912621359
C10007,46,Low,Very High,Beginner,2024-09-20,Canada,362,20934,2025-09-16 18:10:22.222696,99,2092687.5,21138.26,18626.68,9601,96.98,20934.0,1,1.0,0.27348066298342544,21138.257575757576
C10008,41,Low,High,Beginner,2024-04-12,Germany,523,10248,2025-09-16 18:10:22.223693,96,2284327.85,23795.08,18514.3,10540,109.79,19480.0,5,0.4,0.1835564053537285,23795.081770833334
C10009,32,Low,Very High,Beginner,2024-02-21,Canada,574,12255,2025-09-16 18:10:22.224691,101,1847589.3,18292.96,13723.06,9490,93.96,12255.0,1,1.0,0.1759581881533101,18292.963366336633
C10010,39,High,High,Intermediate,2023-07-04,UK,806,14279,2025-09-16 18:10:22.226687,108,2272441.43,21041.12,14822.87,11466,106.17,54039.0,9,0.89,0.13399503722084366,21041.124351851853
C10011,66,High,Very High,Intermediate,2023-11-25,USA,662,33200,2025-09-16 18:10:22.227686,100,2348302.36,23483.02,16473.87,10674,106.74,33200.0,1,1.0,0.1510574018126888,23483.0236
C10012,46,Low,High,Intermediate,2021-07-31,Japan,1509,27553,2025-09-16 18:10:22.228723,90,1904728.2,21163.65,15131.48,9303,103.37,63789.0,7,1.0,0.05964214711729622,21163.646666666667
C10013,55,Low,Low,Beginner,2022-12-14,Canada,1008,49512,2025-09-16 18:10:22.229719,108,2241560.81,20755.19,14598.45,11050,102.31,71643.0,6,0.83,0.10714285714285714,20755.192685185186
C10014,19,High,Low,Advanced,2021-06-18,Germany,1552,27783,2025-09-16 18:10:22.230704,93,1929404.38,20746.28,16408.58,8723,93.8,51622.0,10,0.7,0.059922680412371136,20746.283655913976
C10015,30,High,High,Beginner,2025-02-02,Japan,227,47708,2025-09-16 18:10:22.231704,104,2143555.61,20611.11,15090.08,10356,99.58,47708.0,1,1.0,0.4581497797356828,20611.111634615383
C10016,29,Medium,Very High,Beginner,2021-06-26,UK,1544,26967,2025-09-16 18:10:22.232699,104,2137464.45,20552.54,16572.41,9511,91.45,59727.0,6,0.83,0.06735751295336788,20552.542788461542
