client_id,age,income_bracket,risk_tolerance,investment_experience,join_date,country,tenure_days,account_balance,last_updated,trade_count,total_trade_value,avg_trade_value,std_trade_value,total_quantity,avg_quantity,total_transaction_value,transaction_count,deposit_ratio,avg_daily_trades,value_per_trade,cluster,volatility_score,activity_score,size_score,behavioral_risk_score
C10000,54,Medium,Very High,Beginner,2020-02-16,Canada,2040,11119,2025-09-16 18:10:22.208536,101,2070146.74,20496.5,14622.27,10030,99.31,52091.0,10,0.8,0.0495098039215686,20496.502376237622,0,0.7134032639718977,0.09954664524340717,-0.37795482769772293,4.817818095242227
C10001,61,Medium,Low,Beginner,2025-11-15,Canada,-59,27182,2025-09-16 18:10:22.214717,98,2466664.64,25170.05,18070.9,10828,110.49,27182.0,1,1.0,98.0,25170.047346938776,3,0.7179524871821868,-0.19909329048681434,2.412127434804629,7.121144299040897
C10002,27,Medium,Very High,Intermediate,2024-08-17,Germany,396,46465,2025-09-16 18:10:22.216712,91,2056016.16,22593.58,16463.27,9686,106.44,46815.0,2,0.5,0.2297979797979798,22593.584175824173,2,0.7286702682797502,-0.8959198071906646,0.873989777805254,5.068587270220278
C10003,23,Low,Very High,Intermediate,2022-02-03,Germany,1322,25315,2025-09-16 18:10:22.217713,92,1998764.47,21725.7,17154.08,9172,99.7,34596.0,3,0.67,0.0695915279878971,21725.700760869564,2,0.7895754797313781,-0.7963731619472574,0.3558704479637964,4.738528114711352
C10004,57,Medium,High,Advanced,2025-11-07,Australia,-51,21668,2025-09-16 18:10:22.218707,95,1841425.29,19383.42,15530.8,8619,90.73,21668.0,1,1.0,95.0,19383.42410526316,3,0.8012414733829222,-0.49773322621703586,-1.0424571363808703,3.734490745997465
C10005,35,High,Low,Advanced,2025-03-04,UK,197,7994,2025-09-16 18:10:22.219704,85,1837008.27,21611.86,15681.8,8944,105.22,10123.0,2,1.0,0.4314720812182741,21611.862,0,0.7256108451563169,-1.4931996786511077,0.28790862777073795,3.973746504901477
C10006,70,High,Low,Beginner,2024-06-06,Japan,468,12329,2025-09-16 18:10:22.221699,103,2306990.82,22397.97,16418.1,10755,104.42,39071.0,7,1.0,0.22008547008547,22397.96912621359,0,0.733017322551999,0.2986399357302215,0.7572117415441492,6.067186616823229
C10007,46,Low,Very High,Beginner,2024-09-20,Canada,362,20934,2025-09-16 18:10:22.222696,99,2092687.5,21138.26,18626.68,9601,96.98,20934.0,1,1.0,0.2734806629834254,21138.257575757576,0,0.8811832194324415,-0.09954664524340717,0.005172172715989402,5.142475297846562
C10008,41,Low,High,Beginner,2024-04-12,Germany,523,10248,2025-09-16 18:10:22.223693,96,2284327.85,23795.08,18514.3,10540,109.79,19480.0,5,0.4,0.1835564053537285,23795.08177083333,0,0.778072609968111,-0.3981865809736287,1.591278314013613,6.235410600107106
C10009,32,Low,Very High,Beginner,2024-02-21,Canada,574,12255,2025-09-16 18:10:22.224691,101,1847589.3,18292.96,13723.06,9490,93.96,12255.0,1,1.0,0.1759581881533101,18292.963366336637,2,0.7501825839011292,0.09954664524340717,-1.6934554361676089,3.6378011792107463
C10010,39,High,High,Intermediate,2023-07-04,UK,806,14279,2025-09-16 18:10:22.226687,108,2272441.43,21041.12,14822.87,11466,106.17,54039.0,9,0.89,0.1339950372208436,21041.124351851853,0,0.7044715300326219,0.7963731619472574,-0.05281984426884587,5.7526521918231435
C10011,66,High,Very High,Intermediate,2023-11-25,USA,662,33200,2025-09-16 18:10:22.227686,100,2348302.36,23483.02,16473.87,10674,106.74,33200.0,1,1.0,0.1510574018126888,23483.0236,0,0.7015226320975751,0.0,1.404980302686787,6.360302419082087
C10012,46,Low,High,Intermediate,2021-07-31,Japan,1509,27553,2025-09-16 18:10:22.228723,90,1904728.2,21163.65,15131.48,9303,103.37,63789.0,7,1.0,0.0596421471172962,21163.646666666667,1,0.7149749688735165,-0.9954664524340717,0.020329855557714268,4.176320464853163
C10013,55,Low,Low,Beginner,2022-12-14,Canada,1008,49512,2025-09-16 18:10:22.229719,108,2241560.81,20755.19,14598.45,11050,102.31,71643.0,6,0.83,0.1071428571428571,20755.192685185182,1,0.7033638333351804,0.7963731619472574,-0.2235183970429252,5.594107650121104
C10014,19,High,Low,Advanced,2021-06-18,Germany,1552,27783,2025-09-16 18:10:22.230704,93,1929404.38,20746.28,16408.58,8723,93.8,51622.0,10,0.7,0.0599226804123711,20746.283655913976,2,0.7909167330239446,-0.6968265167038502,-0.22883761540132416,4.29205398158177
C10015,30,High,High,Beginner,2025-02-02,Japan,227,47708,2025-09-16 18:10:22.231704,104,2143555.61,20611.11,15090.08,10356,99.58,47708.0,1,1.0,0.4581497797356828,20611.111634615383,2,0.732133300923628,0.3981865809736287,-0.30953332196751865,5.173830366772235
C10016,29,Medium,Very High,Beginner,2021-06-26,UK,1544,26967,2025-09-16 18:10:22.232699,104,2137464.45,20552.54,16572.41,9511,91.45,59727.0,6,0.83,0.0673575129533678,20552.542788461546,2,0.8063436441432543,0.3981865809736287,-0.3444992725007882,5.210045488585163
C10017,40,Medium,Very High,Advanced,2024-02-28,UK,567,23245,2025-09-16 18:10:22.232699,120,2853797.72,23781.65,17878.62,12406,103.38,45669.0,4,1.0,0.2116402116402116,23781.647666666668,0,0.7517821513646025,1.9909329048681434,1.5832606818527488,8.40845433149461
C10018,52,Low,Very High,Intermediate,2025-07-06,Japan,73,16378,2025-09-16 18:10:22.233697,99,1854388.98,18731.2,15644.86,9334,94.28,16378.0,1,1.0,1.356164383561644,18731.201818181817,1,0.8352299906039122,-0.09954664524340717,-1.4318286961693132,3.773990283416549
C10019,25,High,Low,Advanced,2020-03-05,Australia,2022,33039,2025-09-16 18:10:22.234693,86,1881721.88,21880.49,15008.48,8619,100.22,62567.0,7,0.57,0.0425321463897131,21880.486976744185,2,0.6859297940768236,-1.3936530334077004,0.44827918081414386,4.1769826452200824
C10020,57,High,Low,Intermediate,2021-09-19,Canada,1459,17070,2025-09-16 18:10:22.235690,91,1638873.18,18009.6,12285.56,8584,94.33,49968.0,10,0.6,0.0623714873200822,18009.595384615382,1,0.682167288557214,-0.8959198071906646,-1.8626197138371894,2.5003029811733115
C10021,43,High,Very High,Beginner,2024-11-05,USA,316,43909,2025-09-16 18:10:22.236688,117,2268075.72,19385.26,16011.99,10930,93.42,43909.0,1,1.0,0.370253164556962,19385.26256410257,1,0.8259878897677927,1.692292969137922,-1.0413586670453534,5.779318952774239
C10022,55,Low,Low,Intermediate,2022-09-07,Germany,1106,14744,2025-09-16 18:10:22.236688,81,1634103.03,20174.11,15528.42,7907,97.62,41411.0,8,0.5,0.0732368896925858,20174.111481481483,1,0.7697202007920052,-1.8913862596247364,-0.5704197891527478,2.8549263368308884
C10023,63,Medium,Very High,Beginner,2022-01-21,Japan,1335,35541,2025-09-16 18:10:22.237685,98,1951698.36,19915.29,16658.69,9475,96.68,51854.0,9,0.33,0.0734082397003745,19915.289387755103,1,0.8364774000278177,-0.19909329048681434,-0.7249338290540772,4.3356084768318
C10024,32,Medium,High,Intermediate,2025-02-12,Germany,217,12279,2025-09-16 18:10:22.238683,87,1795034.9,20632.59,16477.79,8410,96.67,19043.0,2,1.0,0.4009216589861751,20632.585057471264,0,0.7986292559489623,-1.2941063881642934,-0.29670988646376895,3.685362062594355
C10025,29,Medium,Medium,Advanced,2021-05-01,USA,1600,36633,2025-09-16 18:10:22.239686,107,2379393.12,22237.32,16010.67,11224,104.9,93264.0,12,0.75,0.066875,22237.318878504677,2,0.7199909881226695,0.6968265167038502,0.661304622657862,6.3341123235509285
C10026,63,Low,Low,Advanced,2020-02-20,UK,2036,28456,2025-09-16 18:10:22.240682,99,2017194.33,20375.7,16737.23,8805,88.94,75875.0,11,0.73,0.0486247544204322,20375.700303030306,1,0.821430920164706,-0.09954664524340717,-0.4500717275512138,4.667231605112944
C10027,34,Medium,High,Advanced,2020-04-09,USA,1987,23352,2025-09-16 18:10:22.241679,108,2144105.9,19852.83,15541.5,9852,91.22,41899.0,9,0.56,0.054353296426774,19852.832407407408,2,0.782835494989883,0.7963731619472574,-0.7622220870412378,5.1703236976013525
C10028,29,Low,Very High,Advanced,2021-11-09,Germany,1408,15395,2025-09-16 18:10:22.242677,100,1930608.62,19306.09,14126.44,10115,101.15,27274.0,3,1.0,0.0710227272727272,19306.0862,2,0.7317090099548899,0.0,-1.0886226981827771,4.087036686793326
C10029,40,Medium,High,Beginner,2025-06-18,Australia,91,16102,2025-09-16 18:10:22.242677,104,2295502.55,22072.14,15836.69,10890,104.71,16102.0,1,1.0,1.1428571428571428,22072.139903846157,0,0.7174968081934965,0.3981865809736287,0.5626931200270697,5.965223030849607
C10030,35,Medium,Low,Advanced,2020-07-03,Canada,1902,41563,2025-09-16 18:10:22.243682,91,1953559.15,21467.68,15182.87,9403,103.33,95352.0,12,0.58,0.047844374342797,21467.682967032964,2,0.7072431674032779,-0.8959198071906646,0.2018340034257347,4.428541989981088
C10031,22,Low,Very High,Advanced,2022-08-19,Japan,1125,23332,2025-09-16 18:10:22.245664,95,1720686.87,18112.49,13245.46,8677,91.34,47583.0,5,0.6,0.0844444444444444,18112.493368421052,2,0.7312887405320858,-0.49773322621703586,-1.8011949801788623,2.9697667147603717
C10032,48,Medium,Very High,Intermediate,2023-02-16,Canada,944,22746,2025-09-16 18:10:22.245664,118,2445449.45,20724.15,15575.96,11746,99.54,48752.0,8,0.38,0.125,20724.147881355933,0,0.7515849865977614,1.791839614381329,-0.24204909713772793,6.540132793393137
C10033,19,Medium,High,Beginner,2021-07-10,Canada,1530,31835,2025-09-16 18:10:22.246661,116,2742409.66,23641.46,16583.99,12807,110.41,45106.0,4,0.75,0.0758169934640522,23641.462586206897,2,0.7014790964686615,1.5927463238945148,1.4995680643820442,7.917351174785643
C10034,53,Medium,Very High,Advanced,2021-12-15,USA,1372,48322,2025-09-16 18:10:22.247661,86,1727251.66,20084.32,15930.78,7683,89.34,68684.0,5,0.8,0.0626822157434402,20084.32162790697,1,0.7931948903423168,-1.3936530334077004,-0.6240238987375578,3.2864358504683926
C10035,30,Medium,Medium,Advanced,2023-05-09,UK,862,9625,2025-09-16 18:10:22.248656,94,2156925.15,22946.01,17024.52,10103,107.48,13118.0,3,1.0,0.1090487238979118,22946.01223404255,0,0.7419381408793948,-0.597279871460443,1.0843884451509964,5.550576959586749
C10036,56,Medium,High,Intermediate,2024-02-27,USA,568,45254,2025-09-16 18:10:22.249654,101,1772330.28,17547.82,15827.74,8813,87.26,52932.0,3,1.0,0.1778169014084507,17547.824554455445,1,0.9019775675838936,0.09954664524340717,-2.138299697399649,3.3673723470345034
C10037,20,High,High,Beginner,2025-04-15,Australia,155,20751,2025-09-16 18:10:22.250656,87,1810836.54,20814.21,16140.53,7935,91.21,20751.0,1,1.0,0.5612903225806452,20814.21310344828,2,0.7754572477168243,-1.2941063881642934,-0.18828379911781687,3.764035387592173
C10038,20,Medium,Medium,Intermediate,2020-07-08,USA,1897,11576,2025-09-16 18:10:22.251647,98,1967258.35,20074.06,15988.92,9328,95.18,70425.0,16,0.5,0.051660516605166,20074.06479591837,2,0.7964965731894793,-0.19909329048681434,-0.6301490592714709,4.386182108724067
C10039,37,Low,Low,Beginner,2020-08-09,Canada,1865,24556,2025-09-16 18:10:22.251647,106,2032802.68,19177.38,15523.93,9649,91.03,46643.0,7,0.43,0.0568364611260053,19177.383773584905,2,0.8094917032462202,0.597279871460443,-1.1654618221905817,4.639083318041693
