client_id,age,risk_tolerance,account_balance,trade_count,days_since_last_trade,churn_probability,churn_risk_segment
C10285,24,High,6467,114,1,0.77,High
C10563,23,Low,9995,119,9,0.72,High
C10610,22,Very High,19070,121,17,0.72,High
C10640,35,Low,5128,102,9,0.72,High
C10957,66,High,18420,98,1,0.72,High
C10599,27,Low,9564,115,9,0.68,High
C10821,58,Low,28630,93,3,0.68,High
C10515,32,Very High,6340,98,8,0.68,High
C10356,26,High,46138,102,3,0.68,High
C10335,53,Medium,26100,94,6,0.68,High
C10628,47,Low,23739,113,6,0.67,High
C10882,54,High,49625,84,26,0.67,High
C10925,38,Very High,7188,78,10,0.66,High
C10145,33,Low,36712,99,10,0.65,High
C10237,39,Very High,27947,104,9,0.65,High
C10764,24,Medium,48427,112,6,0.65,High
C10514,31,Low,12747,106,35,0.65,High
C10208,27,Low,8332,92,1,0.64,High
C10334,33,High,43512,100,2,0.64,High
C10898,51,High,36430,84,40,0.64,High
C10291,38,Very High,19901,109,30,0.64,High
C10486,44,Very High,43561,102,16,0.63,High
C10472,39,High,12312,99,29,0.63,High
C10042,70,Very High,29292,99,7,0.63,High
C10168,21,High,15902,110,37,0.63,High
C10856,18,Very High,16199,106,28,0.63,High
C10347,26,Low,10969,87,17,0.61,High
C10974,35,Low,7496,102,50,0.6,High
C10901,46,High,10281,79,41,0.59,High
C10371,52,Medium,43513,111,45,0.59,High
C10100,68,Very High,24370,113,10,0.58,High
C10945,25,Medium,31421,86,30,0.58,High
C10029,40,High,16102,104,44,0.57,High
C10456,22,High,41482,94,29,0.57,High
C10407,61,Low,28588,105,38,0.57,High
C10290,40,Low,33780,96,52,0.56,High
C10794,54,High,32927,97,29,0.56,High
