client_id,date,type,amount,transaction_month
C10000,2020-02-16,Deposit,11119.0,2020-02
C10000,2021-08-12,Withdrawal,2118.0,2021-08
C10000,2024-04-10,Withdrawal,3869.0,2024-04
C10000,2021-06-03,Deposit,175.0,2021-06
C10000,2024-12-19,Deposit,5174.0,2024-12
C10000,2021-10-05,Deposit,8121.0,2021-10
C10000,2020-07-15,Deposit,6132.0,2020-07
C10000,2025-07-21,Deposit,778.0,2025-07
C10000,2022-11-27,Deposit,7084.0,2022-11
C10000,2024-12-28,Deposit,7521.0,2024-12
C10001,2025-11-15,Deposit,27182.0,2025-11
C10002,2024-08-17,Deposit,46465.0,2024-08
C10002,2024-10-04,Withdrawal,350.0,2024-10
C10003,2022-02-03,Deposit,25315.0,2022-02
C10003,2024-09-08,Withdrawal,1595.0,2024-09
C10003,2025-05-10,Deposit,7686.0,2025-05
C10004,2025-11-07,Deposit,21668.0,2025-11
C10005,2025-03-04,Deposit,7994.0,2025-03
C10005,2025-07-02,Deposit,2129.0,2025-07
C10006,2024-06-06,Deposit,12329.0,2024-06
C10006,2025-07-30,Deposit,8451.0,2025-07
C10006,2025-02-23,Deposit,2858.0,2025-02
C10006,2024-12-15,Deposit,178.0,2024-12
C10006,2025-08-17,Deposit,4944.0,2025-08
C10006,2024-08-31,Deposit,9749.0,2024-08
C10006,2025-08-07,Deposit,562.0,2025-08
C10007,2024-09-20,Deposit,20934.0,2024-09
C10008,2024-04-12,Deposit,10248.0,2024-04
C10008,2025-07-11,Withdrawal,2885.0,2025-07
C10008,2025-04-10,Deposit,4321.0,2025-04
C10008,2024-10-24,Withdrawal,1575.0,2024-10
C10008,2024-11-17,Withdrawal,451.0,2024-11
C10009,2024-02-21,Deposit,12255.0,2024-02
C10010,2023-07-04,Deposit,14279.0,2023-07
C10010,2025-05-21,Deposit,1530.0,2025-05
C10010,2024-06-03,Deposit,8270.0,2024-06
C10010,2024-05-18,Deposit,4829.0,2024-05
C10010,2024-01-01,Deposit,9574.0,2024-01
C10010,2024-07-13,Deposit,5574.0,2024-07
C10010,2023-11-28,Deposit,5766.0,2023-11
C10010,2023-11-24,Withdrawal,1153.0,2023-11
C10010,2025-04-16,Deposit,3064.0,2025-04
C10011,2023-11-25,Deposit,33200.0,2023-11
C10012,2021-07-31,Deposit,27553.0,2021-07
C10012,2021-12-21,Deposit,6462.0,2021-12
C10012,2024-06-23,Deposit,600.0,2024-06
C10012,2025-08-14,Deposit,7175.0,2025-08
C10012,2024-03-07,Deposit,9560.0,2024-03
C10012,2024-01-09,Deposit,7629.0,2024-01
C10012,2024-01-20,Deposit,4810.0,2024-01
C10013,2022-12-14,Deposit,49512.0,2022-12
C10013,2023-11-22,Deposit,8189.0,2023-11
C10013,2023-07-27,Deposit,5322.0,2023-07
C10013,2025-07-11,Deposit,2967.0,2025-07
C10013,2023-12-24,Withdrawal,4756.0,2023-12
C10013,2024-07-12,Deposit,897.0,2024-07
C10014,2021-06-18,Deposit,27783.0,2021-06
C10014,2021-10-24,Withdrawal,4665.0,2021-10
C10014,2021-10-23,Withdrawal,1345.0,2021-10
C10014,2025-07-15,Deposit,358.0,2025-07
C10014,2021-08-19,Deposit,7906.0,2021-08
C10014,2025-05-23,Deposit,223.0,2025-05
C10014,2023-09-16,Deposit,929.0,2023-09
C10014,2023-05-08,Withdrawal,1890.0,2023-05
C10014,2025-08-27,Deposit,2456.0,2025-08
C10014,2022-05-05,Deposit,4067.0,2022-05
C10015,2025-02-02,Deposit,47708.0,2025-02
C10016,2021-06-26,Deposit,26967.0,2021-06
C10016,2021-10-03,Deposit,9984.0,2021-10
