client_id,account_balance,last_updated
C10000,11119,2025-09-16 18:10:22.208536
C10001,27182,2025-09-16 18:10:22.214717
C10002,46465,2025-09-16 18:10:22.216712
C10003,25315,2025-09-16 18:10:22.217713
C10004,21668,2025-09-16 18:10:22.218707
C10005,7994,2025-09-16 18:10:22.219704
C10006,12329,2025-09-16 18:10:22.221699
C10007,20934,2025-09-16 18:10:22.222696
C10008,10248,2025-09-16 18:10:22.223693
C10009,12255,2025-09-16 18:10:22.224691
C10010,14279,2025-09-16 18:10:22.226687
C10011,33200,2025-09-16 18:10:22.227686
C10012,27553,2025-09-16 18:10:22.228723
C10013,49512,2025-09-16 18:10:22.229719
C10014,27783,2025-09-16 18:10:22.230704
C10015,47708,2025-09-16 18:10:22.231704
C10016,26967,2025-09-16 18:10:22.232699
C10017,23245,2025-09-16 18:10:22.232699
C10018,16378,2025-09-16 18:10:22.233697
C10019,33039,2025-09-16 18:10:22.234693
C10020,17070,2025-09-16 18:10:22.235690
C10021,43909,2025-09-16 18:10:22.236688
C10022,14744,2025-09-16 18:10:22.236688
C10023,35541,2025-09-16 18:10:22.237685
C10024,12279,2025-09-16 18:10:22.238683
C10025,36633,2025-09-16 18:10:22.239686
C10026,28456,2025-09-16 18:10:22.240682
C10027,23352,2025-09-16 18:10:22.241679
C10028,15395,2025-09-16 18:10:22.242677
C10029,16102,2025-09-16 18:10:22.242677
C10030,41563,2025-09-16 18:10:22.243682
C10031,23332,2025-09-16 18:10:22.245664
C10032,22746,2025-09-16 18:10:22.245664
C10033,31835,2025-09-16 18:10:22.246661
C10034,48322,2025-09-16 18:10:22.247661
C10035,9625,2025-09-16 18:10:22.248656
C10036,45254,2025-09-16 18:10:22.249654
C10037,20751,2025-09-16 18:10:22.250656
C10038,11576,2025-09-16 18:10:22.251647
C10039,24556,2025-09-16 18:10:22.251647
C10040,23849,2025-09-16 18:10:22.252645
C10041,20278,2025-09-16 18:10:22.253679
C10042,29292,2025-09-16 18:10:22.254674
C10043,10528,2025-09-16 18:10:22.255670
C10044,39757,2025-09-16 18:10:22.255670
C10045,30843,2025-09-16 18:10:22.256670
C10046,45749,2025-09-16 18:10:22.257666
C10047,35398,2025-09-16 18:10:22.258664
C10048,37217,2025-09-16 18:10:22.258664
C10049,43186,2025-09-16 18:10:22.259660
C10050,13063,2025-09-16 18:10:22.260649
C10051,26144,2025-09-16 18:10:22.261294
C10052,32037,2025-09-16 18:10:22.262381
C10053,17290,2025-09-16 18:10:22.262381
C10054,38224,2025-09-16 18:10:22.263379
C10055,6328,2025-09-16 18:10:22.263379
C10056,37820,2025-09-16 18:10:22.264368
C10057,43691,2025-09-16 18:10:22.264368
C10058,43535,2025-09-16 18:10:22.265365
C10059,22423,2025-09-16 18:10:22.266363
C10060,27740,2025-09-16 18:10:22.266363
C10061,43776,2025-09-16 18:10:22.266363
C10062,9620,2025-09-16 18:10:22.266363
C10063,31824,2025-09-16 18:10:22.267906
C10064,16803,2025-09-16 18:10:22.268943
C10065,5163,2025-09-16 18:10:22.268943
C10066,36829,2025-09-16 18:10:22.269942
C10067,27325,2025-09-16 18:10:22.269942
C10068,17919,2025-09-16 18:10:22.270938
C10069,5000,2025-09-16 18:10:22.270938
C10070,41271,2025-09-16 18:10:22.271947
C10071,27988,2025-09-16 18:10:22.271947
C10072,33005,2025-09-16 18:10:22.272938
C10073,11719,2025-09-16 18:10:22.272938
C10074,28239,2025-09-16 18:10:22.273934
C10075,9353,2025-09-16 18:10:22.274939
C10076,36550,2025-09-16 18:10:22.274939
C10077,24523,2025-09-16 18:10:22.275930
C10078,9462,2025-09-16 18:10:22.275930
C10079,30454,2025-09-16 18:10:22.276931
C10080,14346,2025-09-16 18:10:22.277902
C10081,40874,2025-09-16 18:10:22.277902
C10082,49620,2025-09-16 18:10:22.278977
C10083,22522,2025-09-16 18:10:22.279974
C10084,43425,2025-09-16 18:10:22.279974
C10085,26284,2025-09-16 18:10:22.280971
C10086,23943,2025-09-16 18:10:22.280971
C10087,11005,2025-09-16 18:10:22.281968
C10088,43763,2025-09-16 18:10:22.281968
C10089,19166,2025-09-16 18:10:22.282966
C10090,6889,2025-09-16 18:10:22.282966
C10091,34248,2025-09-16 18:10:22.283963
C10092,47776,2025-09-16 18:10:22.283963
C10093,46225,2025-09-16 18:10:22.284960
C10094,43131,2025-09-16 18:10:22.284960
C10095,13859,2025-09-16 18:10:22.285959
C10096,24062,2025-09-16 18:10:22.286954
C10097,37841,2025-09-16 18:10:22.286954
C10098,29051,2025-09-16 18:10:22.286954
C10099,35420,2025-09-16 18:10:22.287952
C10100,24370,2025-09-16 18:10:22.288961
C10101,5985,2025-09-16 18:10:22.288961
C10102,7734,2025-09-16 18:10:22.289952
C10103,39025,2025-09-16 18:10:22.289952
C10104,26481,2025-09-16 18:10:22.290950
C10105,25318,2025-09-16 18:10:22.290950
C10106,34514,2025-09-16 18:10:22.291947
C10107,37827,2025-09-16 18:10:22.291947
C10108,24161,2025-09-16 18:10:22.292944
C10109,8899,2025-09-16 18:10:22.294464
C10110,13847,2025-09-16 18:10:22.294464
C10111,30624,2025-09-16 18:10:22.295506
C10112,20724,2025-09-16 18:10:22.295506
C10113,43653,2025-09-16 18:10:22.296502
C10114,13381,2025-09-16 18:10:22.296502
C10115,38745,2025-09-16 18:10:22.297500
C10116,48800,2025-09-16 18:10:22.298497
C10117,25292,2025-09-16 18:10:22.298497
C10118,41019,2025-09-16 18:10:22.299494
C10119,41025,2025-09-16 18:10:22.299494
C10120,46088,2025-09-16 18:10:22.300492
C10121,40548,2025-09-16 18:10:22.300492
C10122,36626,2025-09-16 18:10:22.301489
C10123,12356,2025-09-16 18:10:22.301489
C10124,28818,2025-09-16 18:10:22.302486
C10125,22807,2025-09-16 18:10:22.302486
C10126,11424,2025-09-16 18:10:22.303483
C10127,20158,2025-09-16 18:10:22.303483
C10128,47539,2025-09-16 18:10:22.304481
C10129,19774,2025-09-16 18:10:22.304481
C10130,27765,2025-09-16 18:10:22.305479
C10131,12106,2025-09-16 18:10:22.305479
C10132,15267,2025-09-16 18:10:22.306476
C10133,6426,2025-09-16 18:10:22.306476
C10134,19637,2025-09-16 18:10:22.307473
C10135,5806,2025-09-16 18:10:22.308471
C10136,35909,2025-09-16 18:10:22.308471
C10137,11352,2025-09-16 18:10:22.309468
C10138,36753,2025-09-16 18:10:22.310466
C10139,43577,2025-09-16 18:10:22.311219
C10140,26413,2025-09-16 18:10:22.312297
C10141,10887,2025-09-16 18:10:22.312297
C10142,33998,2025-09-16 18:10:22.313296
C10143,9840,2025-09-16 18:10:22.314290
C10144,25245,2025-09-16 18:10:22.315293
C10145,36712,2025-09-16 18:10:22.316291
C10146,19358,2025-09-16 18:10:22.316291
C10147,21868,2025-09-16 18:10:22.317282
C10148,28393,2025-09-16 18:10:22.317282
C10149,40857,2025-09-16 18:10:22.318283
C10150,25773,2025-09-16 18:10:22.318283
C10151,30117,2025-09-16 18:10:22.319276
C10152,18073,2025-09-16 18:10:22.319276
C10153,44805,2025-09-16 18:10:22.320276
C10154,31640,2025-09-16 18:10:22.320276
C10155,17872,2025-09-16 18:10:22.321274
C10156,14432,2025-09-16 18:10:22.321274
C10157,12215,2025-09-16 18:10:22.322269
C10158,30289,2025-09-16 18:10:22.323268
C10159,40115,2025-09-16 18:10:22.323268
C10160,31023,2025-09-16 18:10:22.324263
C10161,15290,2025-09-16 18:10:22.324263
C10162,10353,2025-09-16 18:10:22.325260
C10163,47271,2025-09-16 18:10:22.325260
C10164,41410,2025-09-16 18:10:22.326257
C10165,26261,2025-09-16 18:10:22.326257
C10166,29866,2025-09-16 18:10:22.327964
C10167,25990,2025-09-16 18:10:22.329014
C10168,15902,2025-09-16 18:10:22.329014
C10169,17138,2025-09-16 18:10:22.330009
C10170,47269,2025-09-16 18:10:22.330009
C10171,13472,2025-09-16 18:10:22.331006
C10172,13025,2025-09-16 18:10:22.331006
C10173,25544,2025-09-16 18:10:22.332004
C10174,47748,2025-09-16 18:10:22.332004
C10175,24417,2025-09-16 18:10:22.333001
C10176,18029,2025-09-16 18:10:22.333001
C10177,25752,2025-09-16 18:10:22.333998
C10178,44287,2025-09-16 18:10:22.334997
C10179,33174,2025-09-16 18:10:22.334997
C10180,15349,2025-09-16 18:10:22.335993
C10181,24421,2025-09-16 18:10:22.335993
C10182,36321,2025-09-16 18:10:22.336990
C10183,40164,2025-09-16 18:10:22.336990
C10184,47483,2025-09-16 18:10:22.337988
C10185,13446,2025-09-16 18:10:22.337988
C10186,39880,2025-09-16 18:10:22.338985
C10187,5516,2025-09-16 18:10:22.339983
C10188,22060,2025-09-16 18:10:22.339983
C10189,13747,2025-09-16 18:10:22.340980
C10190,30987,2025-09-16 18:10:22.340980
C10191,48041,2025-09-16 18:10:22.341978
C10192,23953,2025-09-16 18:10:22.341978
C10193,48344,2025-09-16 18:10:22.342975
C10194,43439,2025-09-16 18:10:22.344464
C10195,14484,2025-09-16 18:10:22.345043
C10196,36874,2025-09-16 18:10:22.345043
C10197,18636,2025-09-16 18:10:22.346080
C10198,29968,2025-09-16 18:10:22.347083
C10199,46416,2025-09-16 18:10:22.347083
C10200,24409,2025-09-16 18:10:22.348076
C10201,28377,2025-09-16 18:10:22.348076
C10202,36470,2025-09-16 18:10:22.349073
C10203,44623,2025-09-16 18:10:22.349073
C10204,9147,2025-09-16 18:10:22.350069
C10205,32920,2025-09-16 18:10:22.350069
C10206,14061,2025-09-16 18:10:22.351067
C10207,44561,2025-09-16 18:10:22.351067
C10208,8332,2025-09-16 18:10:22.352064
C10209,40126,2025-09-16 18:10:22.352064
C10210,44570,2025-09-16 18:10:22.353062
C10211,5277,2025-09-16 18:10:22.354099
C10212,14173,2025-09-16 18:10:22.354099
C10213,25565,2025-09-16 18:10:22.355100
C10214,20819,2025-09-16 18:10:22.355100
C10215,18156,2025-09-16 18:10:22.356097
C10216,48850,2025-09-16 18:10:22.356097
C10217,8020,2025-09-16 18:10:22.357098
C10218,11930,2025-09-16 18:10:22.357098
C10219,13752,2025-09-16 18:10:22.358096
C10220,15340,2025-09-16 18:10:22.359090
C10221,25434,2025-09-16 18:10:22.359090
C10222,39882,2025-09-16 18:10:22.360093
C10223,42686,2025-09-16 18:10:22.361045
C10224,18610,2025-09-16 18:10:22.361045
C10225,11219,2025-09-16 18:10:22.362043
C10226,21844,2025-09-16 18:10:22.363039
C10227,27083,2025-09-16 18:10:22.363039
C10228,47234,2025-09-16 18:10:22.364036
C10229,37524,2025-09-16 18:10:22.364036
C10230,38579,2025-09-16 18:10:22.365033
C10231,8123,2025-09-16 18:10:22.365033
C10232,5037,2025-09-16 18:10:22.366031
C10233,16677,2025-09-16 18:10:22.366031
C10234,9451,2025-09-16 18:10:22.367028
C10235,34515,2025-09-16 18:10:22.367028
C10236,8815,2025-09-16 18:10:22.368531
C10237,27947,2025-09-16 18:10:22.368531
C10238,9539,2025-09-16 18:10:22.369533
C10239,35616,2025-09-16 18:10:22.369533
C10240,37464,2025-09-16 18:10:22.370530
C10241,37140,2025-09-16 18:10:22.370530
C10242,43979,2025-09-16 18:10:22.371527
C10243,22017,2025-09-16 18:10:22.371527
C10244,35061,2025-09-16 18:10:22.372525
C10245,26096,2025-09-16 18:10:22.372525
C10246,46234,2025-09-16 18:10:22.373522
C10247,20921,2025-09-16 18:10:22.373522
C10248,6638,2025-09-16 18:10:22.374519
C10249,15979,2025-09-16 18:10:22.374519
C10250,18182,2025-09-16 18:10:22.375517
C10251,5592,2025-09-16 18:10:22.376516
C10252,44890,2025-09-16 18:10:22.376516
C10253,36106,2025-09-16 18:10:22.377875
C10254,29656,2025-09-16 18:10:22.378953
C10255,15202,2025-09-16 18:10:22.378953
C10256,44645,2025-09-16 18:10:22.379952
C10257,6497,2025-09-16 18:10:22.379952
C10258,11024,2025-09-16 18:10:22.380949
C10259,46698,2025-09-16 18:10:22.380949
C10260,27362,2025-09-16 18:10:22.381946
C10261,12317,2025-09-16 18:10:22.381946
C10262,12749,2025-09-16 18:10:22.382942
C10263,30891,2025-09-16 18:10:22.382942
C10264,38822,2025-09-16 18:10:22.383943
C10265,16017,2025-09-16 18:10:22.383943
C10266,17619,2025-09-16 18:10:22.384936
C10267,20284,2025-09-16 18:10:22.384936
C10268,27835,2025-09-16 18:10:22.385933
C10269,39009,2025-09-16 18:10:22.385933
C10270,10020,2025-09-16 18:10:22.386930
C10271,17665,2025-09-16 18:10:22.386930
C10272,40898,2025-09-16 18:10:22.387928
C10273,21859,2025-09-16 18:10:22.388933
C10274,20703,2025-09-16 18:10:22.388933
C10275,27736,2025-09-16 18:10:22.389927
C10276,31616,2025-09-16 18:10:22.389927
C10277,29767,2025-09-16 18:10:22.390924
C10278,7481,2025-09-16 18:10:22.390924
C10279,30538,2025-09-16 18:10:22.391925
C10280,35664,2025-09-16 18:10:22.391925
C10281,15993,2025-09-16 18:10:22.392919
C10282,27911,2025-09-16 18:10:22.393917
C10283,17658,2025-09-16 18:10:22.394698
C10284,37712,2025-09-16 18:10:22.394698
C10285,6467,2025-09-16 18:10:22.395738
C10286,16308,2025-09-16 18:10:22.396735
C10287,34614,2025-09-16 18:10:22.396735
C10288,48020,2025-09-16 18:10:22.397732
C10289,10971,2025-09-16 18:10:22.397732
C10290,33780,2025-09-16 18:10:22.398729
C10291,19901,2025-09-16 18:10:22.398729
C10292,8588,2025-09-16 18:10:22.399727
C10293,6726,2025-09-16 18:10:22.399727
C10294,21361,2025-09-16 18:10:22.400724
C10295,27166,2025-09-16 18:10:22.400724
C10296,36182,2025-09-16 18:10:22.401721
C10297,17158,2025-09-16 18:10:22.401721
C10298,46675,2025-09-16 18:10:22.402718
C10299,40745,2025-09-16 18:10:22.403716
C10300,5214,2025-09-16 18:10:22.403716
C10301,20409,2025-09-16 18:10:22.404713
C10302,15998,2025-09-16 18:10:22.404713
C10303,45156,2025-09-16 18:10:22.405711
C10304,8388,2025-09-16 18:10:22.405711
C10305,24576,2025-09-16 18:10:22.406708
C10306,25593,2025-09-16 18:10:22.406708
C10307,19445,2025-09-16 18:10:22.407706
C10308,26937,2025-09-16 18:10:22.408703
C10309,44109,2025-09-16 18:10:22.408703
C10310,40163,2025-09-16 18:10:22.409700
C10311,37714,2025-09-16 18:10:22.409700
C10312,24354,2025-09-16 18:10:22.410700
C10313,13331,2025-09-16 18:10:22.411226
C10314,40812,2025-09-16 18:10:22.412271
C10315,11654,2025-09-16 18:10:22.412271
C10316,6033,2025-09-16 18:10:22.413268
C10317,38239,2025-09-16 18:10:22.413268
C10318,29808,2025-09-16 18:10:22.414265
C10319,29368,2025-09-16 18:10:22.414265
C10320,20756,2025-09-16 18:10:22.415262
C10321,28135,2025-09-16 18:10:22.415262
C10322,30787,2025-09-16 18:10:22.416260
C10323,30937,2025-09-16 18:10:22.416260
C10324,45408,2025-09-16 18:10:22.417257
C10325,10068,2025-09-16 18:10:22.417257
C10326,23151,2025-09-16 18:10:22.418255
C10327,13184,2025-09-16 18:10:22.418255
C10328,33171,2025-09-16 18:10:22.419252
C10329,9232,2025-09-16 18:10:22.419252
C10330,35501,2025-09-16 18:10:22.420249
C10331,16705,2025-09-16 18:10:22.421251
C10332,8157,2025-09-16 18:10:22.421251
C10333,48313,2025-09-16 18:10:22.422244
C10334,43512,2025-09-16 18:10:22.422244
C10335,26100,2025-09-16 18:10:22.423241
C10336,32591,2025-09-16 18:10:22.423241
C10337,43868,2025-09-16 18:10:22.424239
C10338,38478,2025-09-16 18:10:22.424239
C10339,18490,2025-09-16 18:10:22.425237
C10340,36577,2025-09-16 18:10:22.425237
C10341,18339,2025-09-16 18:10:22.426233
C10342,40154,2025-09-16 18:10:22.426557
C10343,26229,2025-09-16 18:10:22.427648
C10344,14457,2025-09-16 18:10:22.428012
C10345,6216,2025-09-16 18:10:22.429013
C10346,16394,2025-09-16 18:10:22.430010
C10347,10969,2025-09-16 18:10:22.430010
C10348,24550,2025-09-16 18:10:22.431007
C10349,34908,2025-09-16 18:10:22.431007
C10350,37594,2025-09-16 18:10:22.432005
C10351,48018,2025-09-16 18:10:22.433002
C10352,44167,2025-09-16 18:10:22.433002
C10353,29687,2025-09-16 18:10:22.434000
C10354,12618,2025-09-16 18:10:22.434000
C10355,47720,2025-09-16 18:10:22.434997
C10356,46138,2025-09-16 18:10:22.435994
C10357,25625,2025-09-16 18:10:22.435994
C10358,49513,2025-09-16 18:10:22.436991
C10359,5832,2025-09-16 18:10:22.436991
C10360,35125,2025-09-16 18:10:22.437989
C10361,15486,2025-09-16 18:10:22.438987
C10362,7651,2025-09-16 18:10:22.438987
C10363,13549,2025-09-16 18:10:22.439984
C10364,31229,2025-09-16 18:10:22.439984
C10365,23971,2025-09-16 18:10:22.440981
C10366,24562,2025-09-16 18:10:22.440981
C10367,9343,2025-09-16 18:10:22.441978
C10368,46130,2025-09-16 18:10:22.442976
C10369,40241,2025-09-16 18:10:22.442976
C10370,22709,2025-09-16 18:10:22.443974
C10371,43513,2025-09-16 18:10:22.444618
C10372,19831,2025-09-16 18:10:22.445660
C10373,26079,2025-09-16 18:10:22.445660
C10374,7817,2025-09-16 18:10:22.446657
C10375,44903,2025-09-16 18:10:22.446657
C10376,46487,2025-09-16 18:10:22.447655
C10377,38105,2025-09-16 18:10:22.447655
C10378,8736,2025-09-16 18:10:22.448652
C10379,45386,2025-09-16 18:10:22.448652
C10380,42309,2025-09-16 18:10:22.449649
C10381,45885,2025-09-16 18:10:22.449649
C10382,28607,2025-09-16 18:10:22.450646
C10383,20020,2025-09-16 18:10:22.451644
C10384,41751,2025-09-16 18:10:22.451644
C10385,38846,2025-09-16 18:10:22.452641
C10386,38443,2025-09-16 18:10:22.452641
C10387,42208,2025-09-16 18:10:22.453645
C10388,21494,2025-09-16 18:10:22.453645
C10389,24174,2025-09-16 18:10:22.454642
C10390,8343,2025-09-16 18:10:22.454642
C10391,5072,2025-09-16 18:10:22.455640
C10392,34961,2025-09-16 18:10:22.455640
C10393,48794,2025-09-16 18:10:22.456638
