Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Date
Female,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,261.415,2024-09-29 19:43:15
Female,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,2022-07-11 06:33:09
Female,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,2025-03-14 22:41:29
Female,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,2023-04-13 21:51:58
Female,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,2023-11-25 02:20:13
Female,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,2025-02-25 02:05:14
Female,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,2024-02-10 21:21:00
Female,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,2021-08-09 15:07:57
Female,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,2025-09-22 14:07:56
Female,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,2022-02-21 17:04:51
Female,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,241.255,2023-01-14 03:28:55
Female,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,2025-09-24 05:17:16
Female,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,2025-10-13 13:39:10
Female,189-17-4241,A,Yangon,Normal,Fashion accessories,87.67,2,8.767,2022-06-19 00:06:48
Female,145-94-9061,B,Mandalay,Normal,Food and beverages,88.36,5,22.09,2021-04-08 03:09:49
Female,183-56-6882,C,Naypyitaw,Member,Food and beverages,99.42,4,19.884,2022-04-08 05:50:22
Female,232-16-2483,C,Naypyitaw,Member,Sports and travel,68.12,1,3.406,2023-04-13 19:52:36
Female,272-65-1806,A,Yangon,Normal,Electronic accessories,60.88,9,27.396,2025-11-25 23:17:43
Female,333-73-7901,C,Naypyitaw,Normal,Health and beauty,54.92,8,21.968,2022-07-03 02:15:10
Female,280-35-5823,B,Mandalay,Member,Home and lifestyle,86.72,1,4.336,2022-08-31 22:43:03
Female,354-25-5821,B,Mandalay,Member,Sports and travel,69.12,6,20.736,2025-11-03 13:44:20
Female,228-96-1411,C,Naypyitaw,Member,Food and beverages,98.7,8,39.48,2022-11-18 00:38:09
Female,132-32-9879,B,Mandalay,Member,Electronic accessories,93.96,4,18.792,2024-04-04 18:34:14
Female,727-46-3608,B,Mandalay,Member,Food and beverages,20.01,9,9.1945,2022-05-28 19:02:19
Female,574-22-5561,C,Naypyitaw,Member,Fashion accessories,82.63,10,41.315,2025-01-30 18:25:06
Female,162-48-8011,A,Yangon,Member,Food and beverages,44.59,5,11.1475,2021-05-14 08:16:05
Female,616-24-2851,B,Mandalay,Member,Fashion accessories,17.87,4,3.574,2025-11-20 03:39:05
Female,399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,34.392,2023-11-22 20:17:45
Female,817-48-8732,A,Yangon,Member,Home and lifestyle,72.35,10,36.175,2025-03-29 11:53:13
Female,285-68-5083,C,Naypyitaw,Member,Sports and travel,24.74,3,3.711,2024-04-07 21:22:59
Female,347-34-2234,B,Mandalay,Member,Sports and travel,55.07,9,247.815,2025-06-11 03:31:54
Female,838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,3.347,2021-02-01 08:15:32
Female,109-28-2512,B,Mandalay,Member,Fashion accessories,97.61,6,29.283,2025-08-09 18:08:49
Female,382-03-4532,A,Yangon,Member,Health and beauty,18.33,1,9.165,2022-08-10 00:28:06
Female,510-95-6347,B,Mandalay,Member,Food and beverages,48.52,3,7.278,2021-10-27 14:19:00
Female,841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,22.773,2024-01-16 13:34:25
Female,732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,20.825,2025-05-14 07:23:46
Female,381-20-0914,A,Yangon,Member,Fashion accessories,20.01,9,9.1945,2023-08-20 00:14:15
Female,829-49-1914,C,Naypyitaw,Member,Food and beverages,78.31,10,39.155,2023-02-23 16:43:15
Female,756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5.095,2024-10-24 00:08:13
Female,870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,29.757,2025-01-19 01:21:54
Female,847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,14.502,2025-08-03 23:58:28
Female,787-56-0757,C,Naypyitaw,Member,Food and beverages,80.36,4,16.072,2021-04-28 01:23:11
Female,730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,29.071,2022-08-26 02:08:51
Female,318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,23.097,2022-09-07 01:55:10
Female,565-80-5980,C,Naypyitaw,Member,Home and lifestyle,47.38,4,9.476,2021-09-13 06:39:48
Female,225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,22.43,2022-10-05 10:48:09
Female,873-51-0671,A,Yangon,Member,Sports and travel,21.98,7,7.693,2022-08-04 01:26:07
Female,871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,3.735,2024-09-07 06:29:21
Female,551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,10.3815,2025-02-25 13:25:29
Female,588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,15.291,2023-04-01 15:25:09
Female,479-26-8945,B,Mandalay,Member,Sports and travel,16.49,2,1.649,2025-05-26 03:33:11
Female,210-67-5886,C,Naypyitaw,Member,Health and beauty,98.21,3,147.315,2023-08-04 02:30:36
Female,227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,25.494,2024-09-12 20:23:56
Female,237-01-6122,C,Naypyitaw,Member,Home and lifestyle,80.79,9,363.555,2022-12-02 03:52:38
Female,225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,4.053,2024-04-30 12:38:57
Female,642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,5.48,2022-01-27 06:18:10
Female,638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,39.824,2021-02-04 12:55:40
Female,268-27-6179,B,Mandalay,Member,Fashion accessories,56.47,8,22.588,2024-05-12 17:44:36
Female,668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,327.915,2021-09-10 23:51:20
Female,870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,8.0625,2021-03-05 08:22:21
Female,189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,142.785,2025-02-23 07:27:34
Female,663-86-9076,C,Naypyitaw,Member,Food and beverages,68.54,8,27.416,2023-12-07 13:15:34
Female,549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,40.626,2023-04-02 23:49:31
Female,191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,13.867,2024-11-15 10:31:04
Female,802-70-5316,A,Yangon,Member,Sports and travel,92.13,6,27.639,2025-07-14 12:39:32
Female,695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,6.968,2022-09-05 01:36:39
Female,483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,24.39,2025-03-20 13:11:01
